iter	Logloss
0	0.6915215177
1	0.6896663222
2	0.688319883
3	0.6866515752
4	0.6851906431
5	0.683691564
6	0.6822096016
7	0.6805605919
8	0.6788508613
9	0.677411131
10	0.6761214983
11	0.6747617032
12	0.673390765
13	0.6718545825
14	0.6706834956
15	0.6693827372
16	0.6679650294
17	0.6664129745
18	0.665256896
19	0.663995667
20	0.6622746227
21	0.6608651931
22	0.6597625944
23	0.6585005156
24	0.657110004
25	0.6552614688
26	0.6539028849
27	0.6525344886
28	0.6509642888
29	0.6493670663
30	0.6479716716
31	0.6467274593
32	0.6450213878
33	0.6433999063
34	0.6421834865
35	0.6411362688
36	0.6394007188
37	0.6378257641
38	0.6362370494
39	0.6349386727
40	0.6336616862
41	0.6325420103
42	0.6313557894
43	0.6296411168
44	0.6286317194
45	0.6273473207
46	0.6263898043
47	0.6254354273
48	0.6243375685
49	0.6233110992
50	0.62227356
51	0.6208584576
52	0.6198289687
53	0.6187198114
54	0.6176747721
55	0.6164424097
56	0.6157968891
57	0.614876733
58	0.613869672
59	0.6127223148
60	0.6116593938
61	0.6106824854
62	0.6097249968
63	0.6086218109
64	0.6077607988
65	0.6067544393
66	0.6059134213
67	0.6048883766
68	0.6037047071
69	0.6026570051
70	0.6017415451
71	0.6009915711
72	0.5998886825
73	0.5990152192
74	0.5981415383
75	0.5973078701
76	0.5966417958
77	0.5955578241
78	0.5946531483
79	0.5937829993
80	0.5928644937
81	0.5920125488
82	0.5909530896
83	0.5901362807
84	0.5891854874
85	0.5885827076
86	0.5872074042
87	0.5865055317
88	0.5858450299
89	0.5851801761
90	0.5842741203
91	0.5833842719
92	0.5825609951
93	0.5816863707
94	0.5810314686
95	0.5800731236
96	0.5793501349
97	0.5783620017
98	0.5775648183
99	0.5767638727
100	0.5760037797
101	0.5750980004
102	0.5740695829
103	0.573176508
104	0.5724405637
105	0.5719025297
106	0.5712504292
107	0.5706897073
108	0.5701169841
109	0.5694522044
110	0.5686815744
111	0.5679682215
112	0.5674020761
113	0.5664346469
114	0.565674058
115	0.5650137562
116	0.5641938762
117	0.5635463987
118	0.5629942089
119	0.5622269251
120	0.5615796803
121	0.5610557289
122	0.5603406706
123	0.5593823194
124	0.5586516484
125	0.5581350568
126	0.5575017738
127	0.5568618166
128	0.5561565902
129	0.5551333234
130	0.5545436457
131	0.5540527258
