iter	Logloss
132	0.5534042537
133	0.5526911538
134	0.5520756541
135	0.5514361558
136	0.550925994
137	0.5502807429
138	0.5499074502
139	0.5495606324
140	0.5489136262
141	0.5483702194
142	0.5474896193
143	0.5470247136
144	0.5463768825
145	0.5455195174
146	0.5445629477
147	0.5439989924
148	0.543163223
149	0.5427837925
150	0.5422719298
151	0.5417339168
152	0.5413687947
153	0.540816115
154	0.5399489652
155	0.5394372917
156	0.5388845912
157	0.5383166639
158	0.537736454
159	0.5374288358
160	0.5369968179
161	0.5364507601
162	0.5360003143
163	0.5355581762
164	0.5352583913
165	0.5347502902
166	0.5342143841
167	0.5335079677
168	0.5329349254
169	0.5323725945
170	0.5320207124
171	0.5312970029
172	0.5308404548
173	0.5302750758
174	0.5297269681
175	0.5292925132
176	0.5288431157
177	0.5284155248
178	0.5278438003
179	0.5273911377
180	0.5269708327
181	0.526507902
182	0.5256865042
183	0.5249157118
184	0.5241588221
185	0.523301526
186	0.522840355
187	0.5224674435
188	0.5222315239
189	0.5215693976
190	0.5210863669
191	0.5205615347
192	0.5201420813
193	0.5198407909
194	0.5195707453
195	0.5192711902
196	0.5187162278
197	0.5183232867
198	0.5178475007
199	0.5174256553
200	0.5170998327
201	0.5168419379
202	0.5165084375
203	0.5161704658
204	0.5158702129
205	0.5153810014
206	0.5149860703
207	0.5146957987
208	0.5142341544
209	0.5138535997
210	0.5134585247
211	0.5131866894
212	0.5127763051
213	0.5124817814
214	0.5120081402
215	0.5116151023
216	0.5113195169
217	0.5109906066
218	0.5104905801
219	0.510155711
220	0.5098473768
221	0.5096132278
222	0.5092669866
223	0.5089181084
224	0.508611186
225	0.508234439
226	0.507832896
227	0.5075682305
228	0.5072152336
229	0.5070130509
230	0.5067948305
231	0.5064560327
232	0.5061179541
233	0.505845797
234	0.5054468388
235	0.5051605636
236	0.504999507
237	0.5046631145
238	0.5044647125
239	0.5039877968
240	0.5037692944
241	0.5035757629
242	0.5032645425
243	0.5028851431
244	0.5023936758
245	0.5020287749
246	0.5016318838
247	0.5014337954
248	0.5010156319
249	0.5003267805
250	0.5000386464
251	0.4997365891
252	0.4994589349
253	0.4991086374
254	0.4988069434
255	0.4981817278
256	0.4978607526
257	0.4976786312
258	0.4973896622
259	0.4972191913
260	0.4969218444
261	0.4966251927
262	0.4962632457
263	0.4959923776
264	0.4956236644
265	0.4954118151
266	0.4950431876
267	0.4948290119
268	0.494621057
269	0.4944428387
270	0.4942001657
271	0.4939171303
272	0.4935871227
273	0.4932837324
274	0.4930800831
275	0.4928252538
276	0.4925060348
277	0.4920979439
278	0.4918272827
279	0.4915918232
280	0.4911735088
281	0.4909215945
282	0.4907203391
283	0.4905189873
284	0.4899462852
285	0.4896123488
286	0.4892530919
287	0.4888521407
288	0.488564579
289	0.4884759339
290	0.4882557371
291	0.488038808
292	0.4878604835
293	0.4875594072
294	0.4872417289
295	0.4870428816
296	0.4865737626
297	0.4862781515
298	0.4860866816
299	0.4857891895
300	0.4855292254
301	0.4853480302
302	0.4851474115
303	0.484916259
304	0.4846532324
305	0.4844263705
306	0.4842017049
307	0.4840342432
308	0.4837221395
309	0.4835084227
310	0.483270754
311	0.4830631088
312	0.4829367026
313	0.4826841753
314	0.4824160233
315	0.4822034971
316	0.4819640955
317	0.4817811181
318	0.481585722
319	0.4812701231
320	0.4810179879
321	0.4808478092
322	0.4806758189
323	0.4804614553
324	0.4802144093
325	0.4799286084
326	0.4797159266
327	0.4794176532
328	0.4791890631
329	0.4790015365
330	0.4788146774
331	0.4786420012
332	0.4783948299
333	0.4780830673
334	0.4779182426
335	0.4776891442
336	0.4775369803
337	0.4774137352
338	0.4771140976
339	0.4769238956
340	0.476739223
341	0.4765408116
342	0.4764114291
343	0.4761747089
344	0.4760455275
345	0.4757953779
346	0.4755631792
347	0.475349049
348	0.4751442116
349	0.4749232795
350	0.4747127152
351	0.4744788188
352	0.4743523481
353	0.4741500489
354	0.4739755624
355	0.4737578391
356	0.47345565
357	0.4732036076
358	0.4730159729
359	0.4727879315
360	0.4724744187
361	0.4723494344
362	0.4720481494
363	0.4718928267
364	0.4717695756
365	0.4716337881
366	0.4714321005
367	0.4712553645
368	0.4711376624
369	0.4708089734
370	0.4705830137
371	0.4703372263
372	0.4700384491
373	0.4698421316
374	0.4696263479
375	0.4694325044
376	0.4692283161
377	0.4690684146
378	0.4689083812
379	0.4687800655
380	0.4686043972
381	0.4684734337
382	0.4682971054
383	0.4681703031
384	0.4679522837
385	0.4677409939
386	0.4675378386
387	0.4673564399
388	0.4672133967
389	0.4669534192
390	0.4668061532
391	0.4664197978
392	0.4663367065
393	0.4662189376
394	0.4660107956
395	0.465802529
396	0.4656061489
397	0.4654618721
398	0.4653328439
